find_number,material_category,material,start_date,end_date,level_1_of_the_functional_classification,level_2_of_the_functional_classification,ceramics_rim_eve_estimated_vessel_equivalent,ceramics_base_eve_estimated_vessel_equivalent,ceramics_reconstructed_object_diameter_in_mm,ceramics_reconstructed_object_height_in_mm,ceramics_surface_treatment,ceramics_decoration_technique,ceramics_image_type,ceramics_mark
NZR2.00857CER036,CER,industrial ware: white,1800,1875,Food Processing & Consumption,Consumption: drinking,40,45,135,30,lead-glaze,overall white,NULL,NULL
NZR2.00857CER041,CER,industrial ware: white,1800,1850,Food Processing & Consumption,Consumption: drinking,50,0,100,30,lead-glaze,overall white,NULL,NULL
NZR2.00857CER043,CER,industrial ware: white,1800,1850,Food Processing & Consumption,Consumption: drinking,25,100,80,47,lead-glaze with blue underglaze,blue-white,floral motif,NULL
NZR2.00857CER049,CER,whiteware: Germany,1800,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,20,400,65,inside lead-glaze,slipware,text/inscriptions,NULL
NZR2.00859CER011,CER,industrial ware: white,1850,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,15,250,20,lead-glaze,overall white,NULL,NULL
NZR2.00859CER012,CER,industrial ware: white,1825,1875,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,10,220,15,lead-glaze,overall white,NULL,NULL
NZR2.00859CER015,CER,industrial ware: white,1850,1900,Food Processing & Consumption,"Food consumption: plate, dish, bowl",10,20,200,22,lead-glaze,"transfer printing, green",landscape,NULL
NZR2.00859CER017,CER,industrial ware: white,1800,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,15,120,58,lead-glaze,overall white,NULL,NULL
NZR2.00859CER018,CER,industrial ware: white,1820,1826,Food Processing & Consumption,Consumption: drinking,30,40,130,29,lead-glaze,overall white,NULL,"Dixon, Austin & Co"
NZR2.00885CER012,CER,industrial ware: white,1800,1850,Food Processing & Consumption,"Food consumption: plate, dish, bowl",5,30,105,50,lead-glaze,overall white,NULL,NULL
NZR2.00887CER018,CER,"redware, slip: Lower Rhine region",1675,1725,Food Processing & Consumption,"Food consumption: plate, dish, bowl",20,20,320,60,lead-glaze and inside slip,slipware and roulette,NULL,NULL
NZR2.00888CER064,CER,redware,1650,1700,Food Processing & Consumption,Food preparation: cooking - and hearth utensils,15,15,240,22,inside lead-glaze,NULL,NULL,NULL
NZR2.00932CER025,CER,porcelain: KhangXi,1700,1725,Food Processing & Consumption,Consumption: drinking,15,5,120,20,"feldspar, painted with blue underglaze",blue-white,landscape,NULL
NZR2.00932CER027,CER,porcelain: China,1725,1800,Food Processing & Consumption,"Food consumption: plate, dish, bowl",15,20,240,40,"feldspar, painted with blue underglaze",blue-white,floral motif,NULL
